,title,brand,rating_5.0,price,discount,rating
51,"amazon basics Creative Black Birds Matte Figurines Home Decorations Accessories (Pack of 2, Black)",ETrade Online,4.3,288.,-59%,224 ratings
52,"Homesake® Lamp, Table Lamp, Night Lamp for Bedroom, Home Decor Items, Lamp for Living Room, Light Lamp, Bedside Lamp, Room Decor, Dovel Pot - (Wooden Base, Birds)",ETrade Online,3.9,778.,-74%,"1,510 ratings"
53,"UHUD CRAFTS Hanging Shelves - Adjustable Rope Hanging Shelf, Wall Hanging Decor, Lightweight, Premium Wooden Shelf, Hanging Plant Shelf for Bedroom and Living Room (1 Pcs)",RetailEZ Pvt Ltd,4.2,169.,-72%,871 ratings
54,"Xtore Beautiful Finish Uniquely Hand Crafted Home Dcor African Tribal Women Art Piece - (Set of 3, Multicolour), Resin",ETrade Online,4.3,782.,-69%,"6,629 ratings"
55,Street27® 4pcs Decorative Abstract Thinker Men Statue showpiece Set | Home Decor Items|Premium PVC Modern Art showpiece for Home Decor Living Room Bedroom Bookshelf Desktop Table Office Gift (Black),Street27™,4.3,599.,-54%,52 ratings
56,Amazon Brand - Solimo Vintage Designer Wooden Wall Hangings Home Decor Items | Large | Multicolor | Set of 2,ETrade Online,4.4,159.,-60%,540 ratings
57,Decazone Macrame Indoor Wall Hanging Shelf Chic Decor Wood Floating Boho Shelves with Wooden Dowel Hand Woven Bohemian Decor for Apartment Dorm Bedroom Living Room Nursery 60 x 30 cm (Beige),Decazone,4.2,299.,-67%,"2,191 ratings"
58,"SPHINX Decorative Glass Vase for Flowers Plants Home Decor Office Living Table Decorations, Vases for Home Decor, Luster Glass Vase,Modern Glass Vase - (Crystal Amber, Approx 9 Inches Height)",ETrade Online,4.0,261.,-74%,443 ratings
59,"Bikri Kendra - Hexagon 20 Golden mirror stickers for wall, hexagon mirror wall stickers, acrylic mirror sticker, hexagonal mirror wall sticker, wall mirror stickers,wall stickers for hall room, (Gold)",Bikri Kendra®,3.8,249.,-79%,"7,779 ratings"
60,"2 Pcs Kitchen Mats, Waterproof Memory Foam Kitchen Rugs, Standing Desk Mat Floor Mats, Comfort Runner Rug Carpets for Kitchen Floor, Sink (c)",ETrade Online,4.8,548.,-73%,"2,058 ratings"
61,"JaipurCrafts Premium Sparkle Square Gramophone Showpiece - 23 cm (Brass, Brown, Gold) (Black, Gold) (Black, Gold)",ETrade Online,3.2,298.,-85%,807 ratings
62,"DECOWORLD|| Premium Side Table || Metal Side Table with Wooden Top || Side Table for Living Room, Sofa Side Table or Bed Side Stand (Golden)",Aakaar Iron Creations Pvt Ltd,4.2,"1,749.",-65%,405 ratings
63,"FILLISKA Luxurious Acrylic Crystal Wall Lamp with Adjustable Colour Changing Function, Elegant Finish (Black CrystalRound-701)",FILLISKA®,4.1,"1,424.",-59%,40 ratings
64,TIED RIBBONS Set Of 2 Trumpet Shape Decorative Glass Vase For Flowers Home Decor Kitchen Living Room Bedroom Flowers Plants Office Dining Table Centerpiece Birthday Wedding Decoration Items (Gold),TiedRibbons,4.1,699.,-61%,191 ratings
65,PAPER PLANE DESIGN Pichwai paintings for living room. Set of 3 canvas wrapped framed madhubani art for wall decor. 12 x 24 inch x 3 frames. (A),Paper Plane Design,5.0,"2,495.",-24%,6 ratings
66,PAPER PLANE DESIGN Pichwai paintings for living room. Set of 3 canvas wrapped framed madhubani art for wall decor. 12 x 24 inch x 3 frames. (A),Paper Plane Design,5.0,"2,495.",-24%,6 ratings
67,PAPER PLANE DESIGN Pichwai paintings for living room. Set of 3 canvas wrapped framed madhubani art for wall decor. 12 x 24 inch x 3 frames. (A),Paper Plane Design,5.0,"2,495.",-24%,6 ratings
